names,wkt_geom
Бурлачья|бурлачка,"POLYGON((30.6647408 46.3545331, 30.6616402 46.354422, 30.6616509 46.3540888, 30.6616835 46.3530922, 30.6618544 46.3514857, 30.6585978 46.3514522, 30.6544465 46.3512266, 30.6507353 46.3510539, 30.6506269 46.3510476, 30.650041 46.3535503, 30.6494203 46.3552874, 30.6457937 46.3552217, 30.646137 46.3535482, 30.6461692 46.3533038, 30.6459546 46.35263, 30.6455469 46.3519635, 30.6442165 46.3516821, 30.6435513 46.3507194, 30.6435192 46.3505935, 30.6436358 46.3505611, 30.6437539 46.3504833, 30.643837 46.3503972, 30.6438826 46.3503241, 30.6438249 46.3502908, 30.6438893 46.3502547, 30.6440583 46.3501723, 30.6440918 46.3501214, 30.6441025 46.3499566, 30.6441534 46.3498298, 30.6444848 46.3496844, 30.6448147 46.3496585, 30.6450474 46.3497284, 30.6450856 46.3497511, 30.6451796 46.3497854, 30.6454396 46.3498251, 30.6458174 46.3490205, 30.6453538 46.3486458, 30.6451017 46.348979, 30.6450192 46.3489583, 30.645192 46.3486109, 30.6454109 46.3481302, 30.6452234 46.3480805, 30.6456506 46.347243, 30.6458607 46.3472998, 30.6460029 46.3469184, 30.6462899 46.3463704, 30.6464178 46.3464035, 30.6470261 46.3466443, 30.647234 46.3465499, 30.6476551 46.3463166, 30.6478965 46.3461944, 30.6480355 46.3460286, 30.648198 46.3458887, 30.6483465 46.345623, 30.6489292 46.3452533, 30.6493395 46.3451946, 30.6503963 46.3454723, 30.6505519 46.3451576, 30.6509676 46.3452557, 30.651834 46.3434837, 30.6618067 46.3387148, 30.6619861 46.3282411, 30.6690216 46.3228232, 30.6720793 46.3229417, 30.6748405 46.3228809, 30.6764674 46.3227639, 30.6776476 46.3226972, 30.676859 46.3216747, 30.6771433 46.3213191, 30.6769502 46.3209263, 30.6768322 46.3207115, 30.6773257 46.3204299, 30.6769717 46.3196815, 30.6768966 46.3195259, 30.6782942 46.3191153, 30.6788897 46.3203451, 30.6798379 46.3215714, 30.6809544 46.3228495, 30.6815123 46.3237884, 30.6822644 46.3248632, 30.6813182 46.3252394, 30.6811076 46.3253219, 30.6811801 46.3254108, 30.6802198 46.3260081, 30.6803271 46.3261239, 30.6800938 46.3262424, 30.6792204 46.3264358, 30.6788369 46.3264945, 30.6786896 46.3264966, 30.6785005 46.3264832, 30.6783436 46.3264427, 30.6781981 46.3263971, 30.6780173 46.3259546, 30.6779243 46.325881, 30.6778342 46.3257666, 30.677673 46.325603, 30.6774576 46.3254991, 30.6771731 46.3254226, 30.6767855 46.3253751, 30.6763689 46.3253012, 30.6760061 46.3245865, 30.6749546 46.324957, 30.6732809 46.3250755, 30.6725085 46.3250014, 30.672031 46.3247903, 30.6713749 46.3250596, 30.6709957 46.3248607, 30.670056 46.3251442, 30.6699698 46.3254253, 30.670438 46.3259191, 30.6706309 46.3261024, 30.6707119 46.3262408, 30.6708373 46.3264178, 30.6708756 46.3274342, 30.670868 46.3282327, 30.6707811 46.3286243, 30.6706604 46.3291503, 30.6708831 46.329217, 30.6715009 46.329385, 30.6720864 46.3312807, 30.6726369 46.3334164, 30.6709065 46.3333529, 30.6709098 46.3334799, 30.6709582 46.3344471, 30.6708053 46.3353619, 30.6706041 46.3360175, 30.670411 46.3364175, 30.6686354 46.3384026, 30.6682847 46.3389256, 30.6680184 46.3394915, 30.6677985 46.3403099, 30.6677771 46.3408173, 30.6676376 46.3415284, 30.6670368 46.3417469, 30.6669241 46.3421061, 30.6668329 46.3430745, 30.6648293 46.342981, 30.6632362 46.3429648, 30.6632173 46.3435504, 30.6632233 46.3438508, 30.6628445 46.3439068, 30.6635908 46.3486814, 30.663704 46.3487345, 30.6637303 46.3490202, 30.6643847 46.3490624, 30.6645702 46.3494401, 30.6652082 46.3494756, 30.6656753 46.3495977, 30.6652274 46.3515475, 30.6647408 46.3545331))"
ВДВ,"POLYGON((30.7180726 46.4292444, 30.7183727 46.4290387, 30.7185539 46.4291438, 30.7182429 46.429361, 30.7180726 46.4292444))"
Вадатурского,"LINESTRING(30.6980431 46.4508978, 30.7130569 46.443585, 30.7127008 46.4437589)"
Ванный,"LINESTRING(30.75993 46.41273, 30.7592 46.41257, 30.75829 46.4129, 30.75748 46.41319, 30.75554 46.41388, 30.75423 46.41442, 30.75377 46.41471)"
Варадеро,"POLYGON((30.7561499 46.4025066, 30.7565639 46.4023567, 30.7573331 46.4031074, 30.7569127 46.4032088, 30.7561499 46.4025066))"
Варненская,"LINESTRING(30.725262 46.431982, 30.7108206 46.4210059, 30.7088415 46.4190774, 30.7083557 46.4192395)"
Кандинского,"LINESTRING(30.6744251 46.467524, 30.6714722 46.468191)"
Великодолинское|Большая долина,"POLYGON((30.5865013 46.3618535, 30.5862942 46.3634553, 30.5873403 46.3659318, 30.5898079 46.3684786, 30.5811538 46.3621763, 30.5765331 46.361971, 30.5725185 46.3602499, 30.5663466 46.3524892, 30.5626482 46.3504309, 30.5591181 46.3495298, 30.5545074 46.3436985, 30.5507093 46.3464314, 30.5518198 46.3406025, 30.5568795 46.3365311, 30.5361638 46.33327, 30.5357196 46.3264262, 30.5506557 46.3263128, 30.556047 46.3245421, 30.5736364 46.3268093, 30.5800524 46.3359435, 30.58789 46.3302239, 30.5973885 46.3304431, 30.6009364 46.3352841, 30.6001686 46.3392231, 30.5937397 46.3446923, 30.5904367 46.3485554, 30.5860897 46.3537028, 30.5865464 46.3558262, 30.5868119 46.3606196, 30.5865013 46.3618535))"
Венгера,"LINESTRING(30.7152781 46.3622741, 30.712535 46.3602744)"
Веры Фигнер,"LINESTRING(30.714031 46.443132, 30.7170744 46.4462024)"
