row_id,names,original_type,new_type,geometry_type,issue
1011,Бузиново|Бузинове,village,settlement,POINT,settlement_point_no_polygon
1012,Булдынка|Булдинка,village,settlement,POINT,settlement_point_no_polygon
1013,Бурдовка|Бурдівка,village,settlement,POINT,settlement_point_no_polygon
1014,Бурлачья Балка|Бурлача Балка,village,settlement,POINT,settlement_point_no_polygon
1015,Бутовка|Бутівка,village,settlement,POINT,settlement_point_no_polygon
1016,Буцыновка|Буцинівка,village,settlement,POINT,settlement_point_no_polygon
1017,Быкоза|Бикоза,village,settlement,POINT,settlement_point_no_polygon
1020,Важное|Важне,village,settlement,POINT,settlement_point_no_polygon
1021,Вакуловка|Вакулівка,village,settlement,POINT,settlement_point_no_polygon
1022,Валя Верде|Valea Verde,village,settlement,POINT,settlement_point_no_polygon
1030,Василевка|Василівка,village,settlement,POINT,settlement_point_no_polygon
1036,Велизарово|Велізарове,village,settlement,POINT,settlement_point_no_polygon
1037,Великие Ламзаки|Великі Ламзаки,village,settlement,POINT,settlement_point_no_polygon
1040,Великий Буялык|Великий Буялик,village,settlement,POINT,settlement_point_no_polygon
1041,Великий Дальник,village,settlement,POINT,settlement_point_no_polygon
1044,Великорыбальское|Великорибальське,village,settlement,POINT,settlement_point_no_polygon
1045,Верхний Куяльник|Верхній Куяльник,village,settlement,POINT,settlement_point_no_polygon
1046,Весняное|Весняне,village,settlement,POINT,settlement_point_no_polygon
1047,Весёлая Балка|Весела Балка,village,settlement,POINT,settlement_point_no_polygon
1049,Весёлое|Веселе,village,settlement,POINT,settlement_point_no_polygon
1051,Весёлое|Веселе,village,settlement,POINT,settlement_point_no_polygon
1056,Викторовка|Вікторівка,village,settlement,POINT,settlement_point_no_polygon
1057,Виноградарь|Виноградар,village,settlement,POINT,settlement_point_no_polygon
1060,Виноградное|Виноградне,village,settlement,POINT,settlement_point_no_polygon
1061,Виноградовка|Виноградівка,village,settlement,POINT,settlement_point_no_polygon
1062,Вишнёвое|Вишневе,village,settlement,POINT,settlement_point_no_polygon
1064,Владимировка|Володимирівка,village,settlement,POINT,settlement_point_no_polygon
1066,Владимировка|Володимирівка,village,settlement,POINT,settlement_point_no_polygon
1067,Владимировка|Володимирівка,village,settlement,POINT,settlement_point_no_polygon
1068,Водник,village,settlement,POINT,settlement_point_no_polygon
1069,Волковское|Вовківське,village,settlement,POINT,settlement_point_no_polygon
1070,Волонтировка|Volintiri,village,settlement,POINT,settlement_point_no_polygon
1071,Вольная Дружина|Вільна Дружина,village,settlement,POINT,settlement_point_no_polygon
1072,Вольное|Вільне,village,settlement,POINT,settlement_point_no_polygon
1083,Глиное|Глинне,village,settlement,POINT,settlement_point_no_polygon
1094,Грибовка|Грибівка,village,settlement,POINT,settlement_point_no_polygon
1095,Григоровка|Григорівка,village,settlement,POINT,settlement_point_no_polygon
1098,Граденицы|Grădinița|Гредініца,village,settlement,POINT,settlement_point_no_polygon
