names,wkt_geom,type
Весёлое|Веселе,POINT(30.320552 46.9137583),village
Весёлое|Веселе,POINT(30.0633869 45.9054613),village
Виноградне|Виноградное,"POLYGON((31.2344221 46.6981048, 31.2341926 46.6988707, 31.2338414 46.6995426, 31.2326037 46.7016246, 31.2306577 46.7010982, 31.2304711 46.7013408, 31.2217718 46.6987311, 31.2203629 46.6984595, 31.2198532 46.6983137, 31.2194109 46.6980231, 31.2188498 46.697697, 31.2180854 46.6974146, 31.2187028 46.696408, 31.2190053 46.6962709, 31.219583 46.6952605, 31.2199961 46.6953665, 31.2209785 46.6939184, 31.2246137 46.6949063, 31.2252719 46.694566, 31.2272032 46.6950728, 31.2273731 46.6951174, 31.2274661 46.6951418, 31.2276308 46.6951943, 31.2276313 46.6959154, 31.2289186 46.6963059, 31.2292798 46.6964155, 31.2294079 46.6964544, 31.2321849 46.697287, 31.2324448 46.6973002, 31.2333852 46.6973366, 31.2344221 46.6981048))",village
Виноградное|Виноградне,POINT(32.166779 46.485085),village
Владимировка|Володимирівка,POINT(29.8312158 46.8455527),village
Владимировка|Володимирівка,POINT(30.07336 46.821125),village
Владимировка|Володимирівка,POINT(29.7369 46.42239),village
Владимировка|Володимирівка,"POLYGON((31.7688668 46.8446009, 31.7611727 46.8438831, 31.7608892 46.844897, 31.7606089 46.8448583, 31.7575572 46.8444745, 31.7578695 46.8434631, 31.7545221 46.8430521, 31.7545449 46.8429265, 31.7554228 46.8393355, 31.7551304 46.8386525, 31.7550773 46.8382552, 31.7553734 46.8379091, 31.7557361 46.8368951, 31.7551883 46.8367443, 31.7553257 46.8362591, 31.7588136 46.8367113, 31.7593286 46.8353608, 31.7605302 46.8350085, 31.7655943 46.8351259, 31.7697571 46.8360947, 31.7698 46.83677, 31.7688668 46.8446009))",village
Вузовский,"POLYGON((30.7269208 46.4116273, 30.7270084 46.4111854, 30.7271387 46.4110231, 30.7273131 46.411062, 30.7274615 46.4114803, 30.7269208 46.4116273))",street
Граденицы|Grădinița|Гредініца,POINT(29.5840794 46.6516508),village
Граденицы|Градениці,POINT(29.995955 46.588223),village
Дмитровка|Дмитрівка,POINT(31.03191 46.797981),village
Дмитровка|Дмитрівка,"POLYGON((31.3286905 46.9503236, 31.3322533 46.9508323, 31.3335233 46.95129, 31.3350878 46.9530302, 31.3360947 46.9538529, 31.335653 46.9569433, 31.3358423 46.9581923, 31.3367579 46.9597369, 31.3363444 46.9615507, 31.3364778 46.9633373, 31.3363352 46.9637655, 31.3301295 46.9630165, 31.3303526 46.9638387, 31.3299064 46.9647218, 31.3288801 46.9660616, 31.32801 46.9676298, 31.3270507 46.9684976, 31.3242173 46.9704615, 31.3237934 46.9707356, 31.3222317 46.9701266, 31.3211998 46.9698427, 31.3208823 46.9691543, 31.3209757 46.9681855, 31.3218723 46.9670765, 31.3234601 46.9660695, 31.3255149 46.9647309, 31.3276952 46.9620873, 31.3277378 46.9609701, 31.3276071 46.9588027, 31.3277565 46.9560997, 31.3272895 46.9546589, 31.327672 46.9535161, 31.327962 46.9510377, 31.3286905 46.9503236))",village
Дмитровка|Дмитрівка,"POLYGON((31.7522541 46.6276404, 31.7551812 46.6275399, 31.7556918 46.627919, 31.7547262 46.6320227, 31.7541468 46.6322732, 31.7540395 46.6323837, 31.7534387 46.6349474, 31.7531812 46.6351316, 31.752972 46.6351058, 31.7528111 46.6350542, 31.7450917 46.6349437, 31.7447859 46.6350579, 31.7447537 46.6352163, 31.7446196 46.6362035, 31.7443997 46.6366528, 31.7443728 46.6368849, 31.7438257 46.636907, 31.7436379 46.6372864, 31.7436379 46.6377284, 31.7422646 46.6377136, 31.7425865 46.6357872, 31.7427313 46.6349143, 31.7423344 46.6348995, 31.7393035 46.6348701, 31.7390513 46.6349474, 31.7388153 46.6350763, 31.7384269 46.6364185, 31.737839 46.6363766, 31.7352426 46.6363103, 31.7336976 46.6362735, 31.7335474 46.6364061, 31.7335904 46.6368407, 31.7334509 46.6371943, 31.7332148 46.6375552, 31.7331397 46.6377836, 31.7333174 46.6383514, 31.729254 46.6392545, 31.7274301 46.638179, 31.7249196 46.6358217, 31.7233961 46.6342157, 31.7212289 46.6318582, 31.7205184 46.6315117, 31.7212404 46.6311569, 31.7222738 46.6307631, 31.7235409 46.6303451, 31.7248079 46.6300049, 31.7258413 46.6297132, 31.726174 46.6297667, 31.7278233 46.629232, 31.7285878 46.6289452, 31.7293735 46.6288188, 31.7301238 46.6286147, 31.7298123 46.6282744, 31.7306688 46.6280848, 31.7337054 46.6275501, 31.735468 46.6276376, 31.7367704 46.6276279, 31.7391487 46.627273, 31.7427169 46.6270389, 31.7453543 46.6271066, 31.7462909 46.6274706, 31.7483861 46.627606, 31.7510604 46.6275806, 31.7522541 46.6276404))",village
Днепровское|Дніпровське,POINT(32.469334 46.590935),village
Днепровское|Дніпровське,"POLYGON((31.8661525 46.6364423, 31.8658955 46.6359616, 31.865736 46.6358338, 31.8639635 46.6355843, 31.862519 46.6354687, 31.8633101 46.6344568, 31.8634415 46.6343581, 31.8639483 46.6336941, 31.8651545 46.6338063, 31.8652761 46.6335698, 31.8656924 46.6321451, 31.8658146 46.6318851, 31.8674851 46.6319921, 31.8694246 46.6321184, 31.8708827 46.6323712, 31.8723126 46.6329739, 31.8743653 46.6337613, 31.8760075 46.6342959, 31.8773807 46.6352, 31.8795184 46.6356374, 31.8815711 46.6362887, 31.883369 46.6371635, 31.8842468 46.637669, 31.8836239 46.6390589, 31.8831001 46.6396227, 31.8825338 46.6395741, 31.8813305 46.6394088, 31.8790229 46.6386798, 31.8785793 46.6401033, 31.8780905 46.6400603, 31.874506 46.6389933, 31.8736676 46.6387014, 31.8663643 46.6367602, 31.8661525 46.6364423))",village
Долиновка|Долинівка,POINT(29.52404 45.992199),village
Долиновка|Долинівка,POINT(30.121416 46.036606),village
